날짜,월,성별,시작연령,종료연령,지역,항목,값,전월대비 ±,전월대비(%) ±,인구천명당
2022,11월,남녀,전 연령,전 연령,전국,출생(명),18982,-1676,-8.11,4.5
2022,10월,남녀,전 연령,전 연령,전국,출생(명),20658,-1227,-5.61,4.7
2022,9월,남녀,전 연령,전 연령,전국,출생(명),21885,127,0.58,5.2
2022,8월,남녀,전 연령,전 연령,전국,출생(명),21758,1317,6.44,5
2022,7월,남녀,전 연령,전 연령,전국,출생(명),20441,1611,8.56,4.7
2022,6월,남녀,전 연령,전 연령,전국,출생(명),18830,-1177,-5.88,4.5
2022,5월,남녀,전 연령,전 연령,전국,출생(명),20007,-1117,-5.29,4.6
2022,4월,남녀,전 연령,전 연령,전국,출생(명),21124,-1801,-7.86,5
2022,3월,남녀,전 연령,전 연령,전국,출생(명),22925,2271,11,5.3
2022,2월,남녀,전 연령,전 연령,전국,출생(명),20654,-3944,-16.03,5.2
2022,1월,남녀,전 연령,전 연령,전국,출생(명),24598,7419,43.19,5.6
2021,12월,남녀,전 연령,전 연령,전국,출생(명),17179,-2650,-13.36,3.9
2021,11월,남녀,전 연령,전 연령,전국,출생(명),19829,-920,-4.43,4.7
2021,10월,남녀,전 연령,전 연령,전국,출생(명),20749,-1156,-5.28,4.8
2021,9월,남녀,전 연령,전 연령,전국,출생(명),21905,-377,-1.69,5.2
2021,8월,남녀,전 연령,전 연령,전국,출생(명),22282,-82,-0.37,5.1
2021,7월,남녀,전 연령,전 연령,전국,출생(명),22364,860,4,5.1
2021,6월,남녀,전 연령,전 연령,전국,출생(명),21504,-418,-1.91,5.1
2021,5월,남녀,전 연령,전 연령,전국,출생(명),21922,-781,-3.44,5
2021,4월,남녀,전 연령,전 연령,전국,출생(명),22703,-1222,-5.11,5.4
2021,3월,남녀,전 연령,전 연령,전국,출생(명),23925,2619,12.29,5.5
2021,2월,남녀,전 연령,전 연령,전국,출생(명),21306,-3588,-14.41,5.4
2021,1월,남녀,전 연령,전 연령,전국,출생(명),24894,5253,26.75,5.7
2020,12월,남녀,전 연령,전 연령,전국,출생(명),19641,-413,-2.06,4.5
2020,11월,남녀,전 연령,전 연령,전국,출생(명),20054,-1830,-8.36,4.8
2020,10월,남녀,전 연령,전 연령,전국,출생(명),21884,-1615,-6.87,5
2020,9월,남녀,전 연령,전 연령,전국,출생(명),23499,1097,4.9,5.6
2020,8월,남녀,전 연령,전 연령,전국,출생(명),22402,-597,-2.6,5.1
2020,7월,남녀,전 연령,전 연령,전국,출생(명),22999,882,3.99,5.3
2020,6월,남녀,전 연령,전 연령,전국,출생(명),22117,-730,-3.2,5.3
2020,5월,남녀,전 연령,전 연령,전국,출생(명),22847,-452,-1.94,5.3
2020,4월,남녀,전 연령,전 연령,전국,출생(명),23299,-891,-3.68,5.5
2020,3월,남녀,전 연령,전 연령,전국,출생(명),24190,1431,6.29,5.6
2020,2월,남녀,전 연령,전 연령,전국,출생(명),22759,-3887,-14.59,5.6
2020,1월,남녀,전 연령,전 연령,전국,출생(명),26646,5418,25.52,6.1
2019,12월,남녀,전 연령,전 연령,전국,출생(명),21228,-2499,-10.53,4.9
2019,11월,남녀,전 연령,전 연령,전국,출생(명),23727,-1886,-7.36,5.6
2019,10월,남녀,전 연령,전 연령,전국,출생(명),25613,1523,6.32,5.9
2019,9월,남녀,전 연령,전 연령,전국,출생(명),24090,-281,-1.15,5.7
2019,8월,남녀,전 연령,전 연령,전국,출생(명),24371,-851,-3.37,5.6
2019,7월,남녀,전 연령,전 연령,전국,출생(명),25222,1230,5.13,5.8
2019,6월,남녀,전 연령,전 연령,전국,출생(명),23992,-1307,-5.17,5.7
2019,5월,남녀,전 연령,전 연령,전국,출생(명),25299,-805,-3.08,5.8
2019,4월,남녀,전 연령,전 연령,전국,출생(명),26104,-945,-3.49,6.2
2019,3월,남녀,전 연령,전 연령,전국,출생(명),27049,1339,5.21,6.2
2019,2월,남녀,전 연령,전 연령,전국,출생(명),25710,-4561,-15.07,6.5
2019,1월,남녀,전 연령,전 연령,전국,출생(명),30271,7504,32.96,6.9
2018,12월,남녀,전 연령,전 연령,전국,출생(명),22767,-2534,-10.02,5.2
2018,11월,남녀,전 연령,전 연령,전국,출생(명),25301,-1173,-4.43,6
2018,10월,남녀,전 연령,전 연령,전국,출생(명),26474,408,1.57,6.1
2018,9월,남녀,전 연령,전 연령,전국,출생(명),26066,-1315,-4.8,6.2
2018,8월,남녀,전 연령,전 연령,전국,출생(명),27381,348,1.29,6.3
2018,7월,남녀,전 연령,전 연령,전국,출생(명),27033,676,2.56,6.2
2018,6월,남녀,전 연령,전 연령,전국,출생(명),26357,-1592,-5.7,6.3
2018,5월,남녀,전 연령,전 연령,전국,출생(명),27949,215,0.78,6.4
2018,4월,남녀,전 연령,전 연령,전국,출생(명),27734,-2253,-7.51,6.6
2018,3월,남녀,전 연령,전 연령,전국,출생(명),29987,2412,8.75,6.9
2018,2월,남녀,전 연령,전 연령,전국,출생(명),27575,-4623,-14.36,7
2018,1월,남녀,전 연령,전 연령,전국,출생(명),32198,7051,28.04,7.4
2017,12월,남녀,전 연령,전 연령,전국,출생(명),25147,-1921,-7.1,5.77
2017,11월,남녀,전 연령,전 연령,전국,출생(명),27068,-789,-2.83,6.42
2017,10월,남녀,전 연령,전 연령,전국,출생(명),27857,-2228,-7.41,6.4
2017,9월,남녀,전 연령,전 연령,전국,출생(명),30085,-50,-0.17,7.14
