연도,성별,지역,학교유형,세부유형,설립유형,학년,학생(명),학급(개),학교(개),교직원(명)
2022,남녀,전국,초등학교,전체,전체,전체,2664278,126502,6163,195037
2022,남녀,강원도,초등학교,전체,전체,전체,71530,4257,349,6767
2022,남녀,경기도,초등학교,전체,전체,전체,767346,32768,1320,49357
2022,남녀,경상남도,초등학교,전체,전체,전체,187423,9216,510,14145
2022,남녀,경상북도,초등학교,전체,전체,전체,127385,6598,473,10872
2022,남녀,광주광역시,초등학교,전체,전체,전체,83929,4015,155,6029
2022,남녀,대구광역시,초등학교,전체,전체,전체,121485,5479,233,8930
2022,남녀,대전광역시,초등학교,전체,전체,전체,76960,3846,149,6037
2022,남녀,부산광역시,초등학교,전체,전체,전체,154858,7105,304,10537
2022,남녀,서울특별시,초등학교,전체,전체,전체,393565,18367,609,28335
2022,남녀,세종특별자치시,초등학교,전체,전체,전체,32230,1587,52,2425
2022,남녀,울산광역시,초등학교,전체,전체,전체,66450,3105,121,4537
2022,남녀,인천광역시,초등학교,전체,전체,전체,155906,7091,260,10399
2022,남녀,전라남도,초등학교,전체,전체,전체,90238,5381,426,8730
2022,남녀,전라북도,초등학교,전체,전체,전체,91290,5169,421,8384
2022,남녀,제주특별자치도,초등학교,전체,전체,전체,41628,1900,114,3042
2022,남녀,충청남도,초등학교,전체,전체,전체,118228,6242,411,9675
2022,남녀,충청북도,초등학교,전체,전체,전체,83827,4376,256,6836
2021,남녀,전국,초등학교,전체,전체,전체,2672340,124047,6157,191224
2021,남녀,강원도,초등학교,전체,전체,전체,72373,4256,348,6725
2021,남녀,경기도,초등학교,전체,전체,전체,763912,31670,1317,48013
2021,남녀,경상남도,초등학교,전체,전체,전체,189176,9100,509,13905
2021,남녀,경상북도,초등학교,전체,전체,전체,127912,6428,473,10586
2021,남녀,광주광역시,초등학교,전체,전체,전체,84998,4030,155,6022
2021,남녀,대구광역시,초등학교,전체,전체,전체,121308,5415,232,8970
2021,남녀,대전광역시,초등학교,전체,전체,전체,77884,3819,148,6034
2021,남녀,부산광역시,초등학교,전체,전체,전체,153921,6914,304,10171
2021,남녀,서울특별시,초등학교,전체,전체,전체,399435,18396,607,28219
2021,남녀,세종특별자치시,초등학교,전체,전체,전체,30726,1472,51,2268
2021,남녀,울산광역시,초등학교,전체,전체,전체,66919,2960,121,4380
2021,남녀,인천광역시,초등학교,전체,전체,전체,155271,6979,258,10081
2021,남녀,전라남도,초등학교,전체,전체,전체,91229,5255,430,8462
2021,남녀,전라북도,초등학교,전체,전체,전체,92914,5160,420,8335
2021,남녀,제주특별자치도,초등학교,전체,전체,전체,41328,1848,113,2887
2021,남녀,충청남도,초등학교,전체,전체,전체,118771,6029,412,9373
2021,남녀,충청북도,초등학교,전체,전체,전체,84263,4316,259,6793
2020,남녀,전국,초등학교,전체,전체,전체,2693716,123517,6120,189286
2020,남녀,강원도,초등학교,전체,전체,전체,73478,4246,347,6638
2020,남녀,경기도,초등학교,전체,전체,전체,761731,31292,1298,46820
2020,남녀,경상남도,초등학교,전체,전체,전체,190849,9141,505,13842
2020,남녀,경상북도,초등학교,전체,전체,전체,129079,6407,473,10324
2020,남녀,광주광역시,초등학교,전체,전체,전체,86419,4044,155,6046
2020,남녀,대구광역시,초등학교,전체,전체,전체,122587,5443,230,8905
2020,남녀,대전광역시,초등학교,전체,전체,전체,79807,3839,148,6035
2020,남녀,부산광역시,초등학교,전체,전체,전체,153527,6914,304,10148
2020,남녀,서울특별시,초등학교,전체,전체,전체,409536,18561,607,28608
2020,남녀,세종특별자치시,초등학교,전체,전체,전체,29487,1412,49,2142
2020,남녀,울산광역시,초등학교,전체,전체,전체,67397,2946,120,4301
2020,남녀,인천광역시,초등학교,전체,전체,전체,156928,6913,253,10071
2020,남녀,전라남도,초등학교,전체,전체,전체,92405,5183,429,8290
2020,남녀,전라북도,초등학교,전체,전체,전체,94661,5128,421,8256
2020,남녀,제주특별자치도,초등학교,전체,전체,전체,40575,1790,113,2869
2020,남녀,충청남도,초등학교,전체,전체,전체,120115,5961,410,9264
2020,남녀,충청북도,초등학교,전체,전체,전체,85135,4297,258,6727
2019,남녀,전국,초등학교,전체,전체,전체,2747219,123761,6087,188582
2019,남녀,강원도,초등학교,전체,전체,전체,75617,4292,349,6648
2019,남녀,경기도,초등학교,전체,전체,전체,769744,31148,1277,46568
2019,남녀,경상남도,초등학교,전체,전체,전체,194606,9161,501,13773
2019,남녀,경상북도,초등학교,전체,전체,전체,131374,6433,471,10257
2019,남녀,광주광역시,초등학교,전체,전체,전체,88990,4071,155,6068
2019,남녀,대구광역시,초등학교,전체,전체,전체,126122,5458,229,9013
2019,남녀,대전광역시,초등학교,전체,전체,전체,82743,3888,148,6007
2019,남녀,부산광역시,초등학교,전체,전체,전체,155589,6905,304,10152
2019,남녀,서울특별시,초등학교,전체,전체,전체,422293,18690,607,28727
2019,남녀,세종특별자치시,초등학교,전체,전체,전체,27892,1328,48,1956
2019,남녀,울산광역시,초등학교,전체,전체,전체,68512,2983,119,4322
2019,남녀,인천광역시,초등학교,전체,전체,전체,160853,6995,250,10026
2019,남녀,전라남도,초등학교,전체,전체,전체,94952,5151,429,8121
2019,남녀,전라북도,초등학교,전체,전체,전체,97731,5147,419,8179
2019,남녀,제주특별자치도,초등학교,전체,전체,전체,41068,1805,113,2840
2019,남녀,충청남도,초등학교,전체,전체,전체,122424,6007,409,9250
2019,남녀,충청북도,초등학교,전체,전체,전체,86709,4299,259,6675
2018,남녀,전국,초등학교,전체,전체,전체,2711385,121818,6064,186684
2018,남녀,강원도,초등학교,전체,전체,전체,75412,4271,351,6558
2018,남녀,경기도,초등학교,전체,전체,전체,752499,30119,1261,45201
2018,남녀,경상남도,초등학교,전체,전체,전체,191016,9022,502,13623
2018,남녀,경상북도,초등학교,전체,전체,전체,129290,6291,470,10168
2018,남녀,광주광역시,초등학교,전체,전체,전체,88622,4050,154,6084
2018,남녀,대구광역시,초등학교,전체,전체,전체,125160,5473,229,9039
2018,남녀,대전광역시,초등학교,전체,전체,전체,83453,3897,148,6030
2018,남녀,부산광역시,초등학교,전체,전체,전체,152775,6856,305,10170
2018,남녀,서울특별시,초등학교,전체,전체,전체,424800,18585,603,28992
2018,남녀,세종특별자치시,초등학교,전체,전체,전체,24865,1179,47,1793
2018,남녀,울산광역시,초등학교,전체,전체,전체,67290,2926,117,4229
2018,남녀,인천광역시,초등학교,전체,전체,전체,158871,6981,249,10037
2018,남녀,전라남도,초등학교,전체,전체,전체,94134,5077,429,8028
2018,남녀,전라북도,초등학교,전체,전체,전체,97606,5110,419,8126
2018,남녀,제주특별자치도,초등학교,전체,전체,전체,40096,1775,113,2757
2018,남녀,충청남도,초등학교,전체,전체,전체,120152,5925,409,9203
2018,남녀,충청북도,초등학교,전체,전체,전체,85344,4281,258,6646
2017,남녀,전국,초등학교,전체,전체,전체,2674227,120152,6040,184358
2017,남녀,강원도,초등학교,전체,전체,전체,75722,4280,351,6541
2017,남녀,경기도,초등학교,전체,전체,전체,733941,29365,1241,44080
2017,남녀,경상남도,초등학교,전체,전체,전체,186619,8870,503,13501
2017,남녀,경상북도,초등학교,전체,전체,전체,127642,6211,468,10021
2017,남녀,광주광역시,초등학교,전체,전체,전체,88189,3996,154,6025
2017,남녀,대구광역시,초등학교,전체,전체,전체,124708,5507,228,8900
2017,남녀,대전광역시,초등학교,전체,전체,전체,84240,3891,147,6010
2017,남녀,부산광역시,초등학교,전체,전체,전체,150863,6840,308,10173
2017,남녀,서울특별시,초등학교,전체,전체,전체,428333,18625,603,29191
2017,남녀,세종특별자치시,초등학교,전체,전체,전체,20764,994,43,1536
2017,남녀,울산광역시,초등학교,전체,전체,전체,66016,2923,118,4240
2017,남녀,인천광역시,초등학교,전체,전체,전체,156470,6788,249,9983
2017,남녀,전라남도,초등학교,전체,전체,전체,93233,5032,430,7965
2017,남녀,전라북도,초등학교,전체,전체,전체,97383,5058,419,8024
2017,남녀,제주특별자치도,초등학교,전체,전체,전체,38901,1748,112,2664
2017,남녀,충청남도,초등학교,전체,전체,전체,116963,5767,407,8914
2017,남녀,충청북도,초등학교,전체,전체,전체,84240,4257,259,6590
2016,남녀,전국,초등학교,전체,전체,전체,2672843,119547,6001,183452
2016,남녀,강원도,초등학교,전체,전체,전체,76772,4277,351,6558
2016,남녀,경기도,초등학교,전체,전체,전체,727380,29084,1227,43308
2016,남녀,경상남도,초등학교,전체,전체,전체,185325,8742,500,13425
2016,남녀,경상북도,초등학교,전체,전체,전체,127825,6242,469,10016
2016,남녀,광주광역시,초등학교,전체,전체,전체,89095,3985,153,6027
2016,남녀,대구광역시,초등학교,전체,전체,전체,125541,5555,225,8873
2016,남녀,대전광역시,초등학교,전체,전체,전체,85939,3956,146,6005
2016,남녀,부산광역시,초등학교,전체,전체,전체,151207,6873,308,10250
2016,남녀,서울특별시,초등학교,전체,전체,전체,436121,18621,601,29448
